,Index,Artist,Song,Emotion,Lyric
455,ML456,Duane Stephenson,Cottage In Negril,relaxed,"['uh', 'oh', 'oh', 'yeah', 'little', 'cottage', 'negril', 'wrote', 'lines', 'little', 'cottage', 'negril', 'realized', 'love', 'still', 'little', 'cottage', 'hill', 'way', 'western', 'negril', 'man', 'sits', 'pining', 'love', 'jewie', 'miss', 'lips', 'want', 'kiss', 'called', 'phone', 'surprise', 'home', 'little', 'cottage', 'negril', 'wrote', 'lines', 'little', 'cottage', 'negril', 'realized', 'love', 'still', 'brothers', 'getting', 'jay', 'sniffing', 'cocaine', 'getting', 'high', 'licking', 'sensimilla', 'pie', 'getting', 'high', 'jennie', 'sinsiminia', 'cake', 'go', 'west', 'watch', 'sunsets', 'rick\\', 'cafe', 'little', 'cottage', 'negril', 'wrote', 'lines', 'little', 'cottage', 'negril', 'realized', 'love', 'still', 'love', 'love', 'baby', 'yeah', 'brothers', 'getting', 'jay', 'optain', 'cocaine', 'getting', 'high', 'licking', 'collie', 'pie', 'getting', 'high', 'jennie', 'sinsiminia', 'cake', 'go', 'west', 'watch', 'sunsets', 'rick\\', 'cafe', 'little', 'cottage', 'negril', 'wrote', 'lines', 'little', 'cottage', 'negril', 'realized', 'love', 'still']"
456,ML457,Beyonce,Dangerously In Love,happy,"['love', 'baby', 'love', 'life', 'happiest', 'moments', 'complete', 'side', 'relation', 'connection', 'sun', 'next', 'darkness', 'overcome', 'raindrop', 'sea', 'god', 'sunlight', 'bloom', 'grow', 'beautifully', 'baby', 'proud', 'proud', 'girl', 'make', 'confusion', 'go', 'away', 'cold', 'messed', 'world', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'never', 'leave', 'keep', 'lovin', 'way', 'love', 'loving', 'know', 'love', 'love', 'cause', 'years', 'became', 'baby', 'man', 'know', 'ai', 'easy', 'easy', 'loving', 'appreciate', 'love', 'dedication', 'later', 'destiny', 'see', 'child', 'see', 'wife', 'see', 'whole', 'future', 'eyes', 'thought', 'love', 'sometimes', 'make', 'want', 'cry', 'realize', 'blessings', 'grateful', 'side', 'every', 'time', 'see', 'face', 'heart', 'smiles', 'every', 'time', 'feels', 'good', 'hurts', 'sometimes', 'created', 'world', 'love', 'hold', 'feel', 'breathe', 'love', 'dangerously', 'love', 'thing', 'love', 'love', 'love', 'never', 'leave', 'keep', 'loving', 'love', 'anything', 'without', 'life', 'holding', 'kissing', 'loving', 'dangerously', 'love', 'dangerously', 'love', 'become', 'editor', 'editor', 'logi', 'love', 'love', 'love', 'baby', 'love', 'life', 'happiest', 'moments', 'complete', 'side', 'relation', 'connection', 'sun', 'next', 'darkness', 'overcome', 'raindrops', 'seed', 'god', 'sunlight', 'blooming', 'grown', 'beautifully', 'baby', 'proud', 'proud', 'girl', 'make', 'confusion', 'go', 'away', 'cold', 'misty', 'world', 'love', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'love', 'never', 'leave', 'keep', 'loving', 'way', 'love', 'loving', 'love', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'love', 'never', 'leave', 'keep', 'loving', 'way', 'love', 'loving', 'know', 'love', 'love', 'cause', 'years', 'became', 'baby', 'man', 'know', 'ai', 'easy', 'easy', 'loving', 'appreciate', 'love', 'dedication', 'later', 'destiny', 'see', 'child', 'see', 'wife', 'see', 'whole', 'future', 'eyes', 'awe', 'love', 'sometimes', 'makes', 'want', 'cry', 'realize', 'blessings', 'greateful', 'side', 'love', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'love', 'never', 'leave', 'keep', 'loving', 'way', 'love', 'loving', 'love', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'love', 'never', 'leave', 'keep', 'loving', 'way', 'love', 'loving', 'loving', 'every', 'time', 'see', 'face', 'heart', 'smiles', 'every', 'time', 'feels', 'good', 'hurts', 'sometimes', 'created', 'world', 'love', 'hold', 'feel', 'breathe', 'live', 'dangerously', 'love', 'yeah', 'love', 'love', 'set', 'free', 'thing', 'called', 'life', 'without', 'dangerously', 'love', 'love', 'love', 'love', 'never', 'leave', 'never', 'leave', 'keep', 'loving', 'way', 'love', 'loving', 'love', 'love', 'love', 'set', 'free', 'anything', 'without', 'life', 'holding', 'kissing', 'loving', 'dangerously', 'dangerously', 'dangerous', 'dangerously', 'love', 'dangerous', 'dangerously', 'love', 'oh', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'oh', 'yeah', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'love', 'dangreously', 'love']"
457,ML458,Rihanna,Russian Roulette,angry,"['take', 'breath', 'take', 'deep', 'calm', 'says', 'play', 'play', 'keeps', 'take', 'gun', 'count', 'three', 'sweatin', 'moving', 'slow', 'time', 'think', 'turn', 'go', 'see', 'heart', 'beating', 'see', 'chest', 'said', 'terrified', 'leaving', 'know', 'must', 'pass', 'test', 'pull', 'trigger', 'trigger', 'trigger', 'say', 'prayer', 'says', 'close', 'eyes', 'sometimes', 'helps', 'get', 'scary', 'thought', 'means', 'never', 'lost', 'see', 'heart', 'beating', 'see', 'chest', 'said', 'terrified', 'leaving', 'know', 'must', 'pass', 'test', 'pull', 'trigger', 'life', 'flashes', 'eyes', 'wondering', 'ever', 'see', 'another', 'sunrise', 'many', 'get', 'chance', 'say', 'goodbye', 'late', 'think', 'value', 'life', 'see', 'heart', 'beating', 'see', 'chest', 'said', 'terrified', 'leaving', 'know', 'must', 'pass', 'test', 'see', 'heart', 'beating', 'see', 'chest', 'terrified', 'leaving', 'know', 'must', 'pass', 'test', 'pull', 'trigger', 'trigger', 'trigger']"
458,ML459,Michael Jackson,Gone Too Soon,relaxed,"['like', 'comet', 'blazing', ""'cross"", 'evening', 'sky', 'gone', 'soon', 'like', 'rainbow', 'fading', 'twinkling', 'eye', 'gone', 'soon', 'shiny', 'sparkly', 'splendidly', 'bright', 'one', 'day', 'gone', 'one', 'night', 'like', 'loss', 'sunlight', 'cloudy', 'afternoon', 'gone', 'soon', 'like', 'castle', 'built', 'upon', 'sandy', 'beach', 'gone', 'soon', 'like', 'perfect', 'flower', 'beyond', 'reach', 'gone', 'soon', 'born', 'amuse', 'inspire', 'delight', 'one', 'day', 'gone', 'one', 'night', 'like', 'sunset', 'dying', 'rising', 'moon', 'gone', 'soon', 'gone', 'soon']"
459,ML460,Shania Twain,From This Moment On,relaxed,"['swear', 'always', 'give', 'anything', 'everything', 'always', 'care', 'weakness', 'strength', 'happiness', 'sorrow', 'better', 'worse', 'love', 'every', 'beat', 'heart', 'moment', 'life', 'begun', 'moment', 'one', 'right', 'beside', 'belong', 'moment', 'moment', 'blessed', 'live', 'happiness', 'love', 'give', 'last', 'breath', 'moment', 'give', 'hand', 'heart', 'wait', 'live', 'life', 'wait', 'start', 'never', 'apart', 'dreams', 'came', 'true', 'moment', 'long', 'live', 'love', 'promise', 'nothing', 'would', 'give', 'moment', 'oh', 'reason', 'believe', 'love', 'answer', 'prayers', 'need', 'two', 'us', 'dreams', 'came', 'true', 'moment', 'long', 'live', 'love', 'promise', 'nothing', 'would', 'give', 'moment', 'love', 'long', 'live', 'moment', 'mmm']"
460,ML461,Julio Iglesias,My Love,happy,"['unfortunately', 'licensed', 'display', 'full', 'lyrics', 'song', 'moment', 'hopefully', 'able', 'future', 'random', 'page']"
461,ML462,"Phillips, Craig & Dean",You Are God Alone,happy,"['god', 'created', 'human', 'hands', 'god', 'dependent', 'mortal', 'man', 'god', 'need', 'anything', 'give', 'plan', 'way', 'god', 'alone', 'time', 'began', 'throne', 'god', 'alone', 'right', 'good', 'times', 'bad', 'throne', 'god', 'alone', 'god', 'whose', 'power', 'none', 'contend', 'god', 'whose', 'name', 'praise', 'never', 'end', 'god', 'worthy', 'everything', 'give', 'god', 'way', 'unchangeable', 'unshakable', 'unstoppable']"
462,ML463,Matt Brouwer,"Father, I Adore You",happy,"['father', 'adore', 'lay', 'life', 'love', 'jesus', 'adore', 'lay', 'life', 'love', 'spirit', 'adore', 'lay', 'life', 'love']"
463,ML464,Counting Crows,Accidentally In Love,happy,"['said', 'problem', 'baby', 'problem', 'know', 'well', 'maybe', 'love', 'love', 'think', 'every', 'time', 'think', 'stop', 'thinking', 'much', 'longer', 'take', 'cure', 'cure', 'ignore', 'love', 'love', 'makes', 'want', 'turn', 'around', 'face', 'know', 'nothing', 'love', 'uh', 'come', 'come', 'turn', 'little', 'faster', 'come', 'come', 'world', 'follow', 'come', 'come', 'everybody', 'love', 'said', 'snowball', 'running', 'running', 'spring', 'coming', 'love', 'melting', 'blue', 'skies', 'belting', 'sunlight', 'shimmering', 'love', 'well', 'baby', 'surrender', 'strawberry', 'ice', 'cream', 'never', 'ever', 'end-er', 'love', 'well', 'mean', 'escaping', 'love', 'uh', 'lines', 'lightning', 'mean', 'never', 'alone', 'never', 'alone', 'come', 'come', 'move', 'little', 'closer', 'come', 'come', 'want', 'hear', 'whisper', 'come', 'come', 'settle', 'inside', 'love', 'uh', 'come', 'come', 'come', 'jump', 'little', 'higher', 'come', 'come', 'feel', 'little', 'lighter', 'come', 'come', 'come', 'upon', 'time', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'accidentally', 'love', 'love', 'love', 'love', 'love', 'love', 'accidentally', 'love', 'love', 'love', 'love', 'love', 'love', 'accidentally', 'come', 'come', 'come', 'spin', 'little', 'tighter', 'come', 'come', 'world', 'little', 'brighter', 'come', 'come', 'come', 'get', 'inside', 'love', 'love']"
464,ML465,Fistful Of Mercy,Father's Son,sad,"['unfortunately', 'licensed', 'display', 'full', 'lyrics', 'song', 'moment', 'hopefully', 'able', 'future', 'random', 'page']"
465,ML466,Greg Laswell,Take Everything ,relaxed,"['say', 'sky', 'green', 'know', 'mean', 'lies', 'always', 'clear', 'mind', 'mind', 'mind', 'go', 'take', 'everything', 'go', 'take', 'everything', 'say', 'sky', 'blue', 'long', 'incomprehensible', 'mind', 'mind', 'mind', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything', 'reasons', 'got', 'line', 'think', 'blind', 'mind', 'mind', 'mind', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything', 'go', 'take', 'everything']"
466,ML467,A Flock Of Seagulls,Space Age Love Song,happy,"['saw', 'eyes', 'made', 'smile', 'little', 'falling', 'love', 'saw', 'eyes', 'touched', 'mind', 'although', 'took', 'falling', 'love', 'saw', 'eyes', 'made', 'cry', 'little', 'falling', 'love', 'falling', 'love', 'saw', 'eyes', 'saw', 'eyes', 'made', 'cry', 'made', 'cry', 'little', 'little', 'falling', 'love', 'falling', 'love', 'falling', 'love', 'falling', 'love', 'falling', 'love', 'falling', 'love']"
467,ML468,Peter Gabriel,Shock The Monkey,sad,"['cover', 'run', 'cover', 'fire', 'something', 'knocked', 'trees', 'knees', 'cover', 'darling', 'please', 'hey', 'monkey', 'monkey', 'monkey', 'know', 'going', 'shock', 'monkey', 'hey', 'hey', 'fox', 'fox', 'rat', 'rat', 'ape', 'ape', 'know', 'one', 'thing', 'must', 'sure', 'take', 'darling', 'monkey', 'monkey', 'hey', 'monkey', 'monkey', 'monkey', 'know', 'going', 'shock', 'monkey', 'hey', 'hey', 'shock', 'monkey', 'hey', 'monkey', 'wheels', 'keep', 'turning', 'monkey', 'something', 'burning', 'monkey', 'like', 'guess', 'learning', 'shock', 'shock', 'shock', 'watch', 'monkey', 'get', 'hurt', 'monkey', 'shock', 'shock', 'shock', 'watch', 'monkey', 'get', 'hurt', 'monkey', 'cover', 'sleep', 'cover', 'breathe', 'throw', 'pearls', 'swine', 'make', 'monkey', 'blind', 'cover', 'darling', 'please', 'hey', 'monkey', 'monkey', 'monkey', 'know', 'going', 'shock', 'monkey', 'hey', 'hey', 'shock', 'monkey', 'hey', 'monkey', 'much', 'stake', 'monkey', 'ah', 'ground', 'beneath', 'shake', 'monkey', 'news', 'breaking', 'shock', 'shock', 'shock', 'watch', 'monkey', 'get', 'hurt', 'monkey', 'shock', 'shock', 'shock', 'watch', 'monkey', 'get', 'hurt', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'hey', 'hey', 'shock', 'monkey', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'life', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'life', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'life', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'life', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'shock', 'monkey', 'life']"
468,ML469,Los Tigres Del Norte,Jose Perez Leon,sad,"['el', 'era', 'un', 'hombre', 'de', 'campo', 'oriundo', 'de', 'nuevo', 'león', 'tenía', 'apenas', '19', 'años', 'su', 'nombre', 'josé', 'pérez', 'león', 'tenía', 'un', 'primo', 'lejano', 'que', 'de', 'mojado', 'se', 'fue', 'al', 'poco', 'tiempo', 'le', 'envió', 'un', 'telegrama', 'diciendo', 'ven', 'pronto', 'josé', 'pues', 'un', 'trabajo', 'le', 'habían', 'encontrando', 'piscando', 'algodón', 'como', 'él', 'se', 'fue', 'se', 'fue', 'ahogando', 'en', 'llanto', 'en', 'el', 'adiós', 'con', 'su', 'mujer', 'se', 'fue', 'sin', 'saber', 'que', 'de', 'ese', 'viaje', 'ya', 'jamás', 'iba', 'volver', 'pobre', 'josé', 'cuando', 'llegó', 'la', 'frontera', 'con', 'willy', 'se', 'entrevistó', 'era', 'el', 'pollero', 'más', 'afamado', 'astuto', 'de', 'la', 'región', 'le', 'dijo', 'pepe', 'hoy', 'estás', 'de', 'suerte', 'mañana', 'te', 'cruzo', 'yo', 'la', 'madrugada', 'de', 'un', 'viernes', 'en', 'una', 'vieja', 'estación', '20', 'inocentes', 'pagaban', 'su', 'cuota', 'entre', 'ellos', 'josé', 'pérez', 'león', 'sin', 'dudarlo', 'todos', 'subieron', 'en', 'el', 'interior', 'de', 'un', 'vagón', 'el', 'tren', 'cruzó', 'al', 'otro', 'lado', 'casi', '7', 'horas', 'después', 'fue', 'cuando', 'el', 'aire', 'empezó', 'terminarse', 'ya', 'nada', 'pudieron', 'hacer', 'nadie', 'escuchó', 'aquellos', 'gritos', 'de', 'auxilio', 'la', 'puerta', 'quiso', 'ceder', 'uno', 'por', 'uno', 'se', 'fueron', 'cayendo', 'asi', 'falleció', 'el', 'buen', 'josé', 'se', 'fue', 'se', 'fue', 'cruzar', 'el', 'cielo', 'con', 'sus', 'ancias', 'de', 'crecer', 'se', 'fue', 'sin', 'saber', 'que', 'ya', 'su', 'esposa', 'un', 'hijo', 'suyo', 'iba', 'tener', 'pobre', 'josé', 'así', 'termina', 'la', 'historia', 'queda', 'más', 'que', 'contar', 'de', 'otro', 'paisano', 'que', 'arriesga', 'la', 'vida', 'que', 'muere', 'como', 'ilegal', 'de', 'aquel', 'josé', 'que', 'mil', 'sueños', 'tenía', 'que', 'casa', 'jamás', 'volvera']"
469,ML470,The Beatles,P.S. I Love You,happy,"['write', 'letter', 'send', 'love', 'remember', 'always', 'love', 'treasure', 'words', ""'til"", 'together', 'keep', 'love', 'forever', 'p.s', 'love', 'coming', 'home', 'love', ""'til"", 'day', 'love', 'p.s', 'love', 'write', 'letter', 'send', 'love', 'remember', 'always', 'love', 'treasure', 'words', ""'til"", 'together', 'keep', 'love', 'forever', 'p.s', 'love', 'write', 'letter', 'send', 'love', 'know', 'want', 'remember', 'always', 'love', 'coming', 'home', 'love', ""'til"", 'day', 'love', 'p.s', 'love', 'love']"
470,ML471,Portugal. The Man,People Say,angry,"['save', 'saved', 'president', 'son', 'need', 'soul', 'soldiers', 'say', 'alright', 'may', 'make', 'war', 'make', 'night', 'people', 'say', 'lovely', 'day', 'yeah', 'war', 'may', 'lost', 'million', 'men', 'got', 'million', 'people', 'say', 'share', 'pain', 'share', 'love', 'need', 'love', 'soldiers', 'say', 'alright', 'may', 'make', 'war', 'make', 'night', 'people', 'say', 'lovely', 'day', 'yeah', 'war', 'may', 'lost', 'million', 'men', 'got', 'million', 'people', 'say', 'save', 'saved', 'need', 'love', 'president', 'son', 'soldiers', 'say', 'alright', 'may', 'make', 'war', 'make', 'night', 'people', 'say', 'lovely', 'day', 'yeah', 'war', 'may', 'lost', 'million', 'men', 'got', 'million', 'people', 'say', 'people', 'say', 'alright', 'alright', 'right', 'alright', 'alright', 'right', 'alright', 'alright', 'right', 'people', 'say']"
471,ML472,Concrete Blonde,Joey,angry,"['joey', 'baby', 'get', 'crazy', 'detours', 'fences', 'get', 'defensive', 'know', 'heard', 'say', 'anymore', 'stand', 'let', 'fight', 'secret', 'war', 'though', 'used', 'wonder', 'used', 'cry', 'till', 'dry', 'still', 'sometimes', 'get', 'strange', 'pain', 'inside', 'oh', 'joey', 'hurtin', 'joey', 'honey', 'got', 'money', 'forgiven', 'listen', 'listen', 'seem', 'confused', 'mean', 'said', 'scared', 'well', 'guess', 'scared', 'got', 'lucky', 'want', 'close', 'door', 'somewhere', 'passed', 'floor', 'oh', 'joey', 'angry', 'anymore', 'seem', 'confused', 'mean', 'said', 'scared', 'well', 'guess', 'scared', 'love', 'looking', 'give', 'little', 'somewhere', 'drunk', 'passed', 'floor', 'oh', 'joey', 'angry', 'anymore', 'angry', 'anymore', 'angry', 'anymore']"
472,ML473,Bruce Springsteen,I'm On Fire,angry,"['hey', 'little', 'girl', 'daddy', 'home', 'go', 'away', 'leave', 'alone', 'mm-hmm', 'got', 'bad', 'desire', 'oh', 'oh', 'oh', 'fire', 'tell', 'baby', 'good', 'things', 'uh-huh', 'take', 'higher', 'oh', 'oh', 'oh', 'fire', 'sometimes', 'like', 'someone', 'took', 'knife', 'baby', 'edgy', 'dull', 'cut', 'six-inch', 'valley', 'middle', 'skull', 'night', 'wake', 'sheets', 'soaking', 'wet', 'freight', 'train', 'running', 'middle', 'head', 'cool', 'desire', 'oh', 'oh', 'oh', 'fire', 'oh', 'oh', 'oh', 'fire', 'oh', 'oh', 'oh', 'fire']"
473,ML474,Sufjan Stevens,Vesuvius,angry,"['vesuvius', 'fire', 'fire', 'insecure', 'made', 'plan', 'though', 'know', 'fail', 'made', 'laugh', 'life', 'death', 'rather', 'burned', 'living', 'debt', 'vesuvius', 'ghost', 'symbols', 'light', 'fantasy', 'host', 'breast', 'carry', 'form', 'heart', 'earth', 'weapons', 'warmth', 'vesuvius', 'tragic', 'oath', 'destroyed', 'elegant', 'smoke', 'oracle', 'fought', ""'em"", 'last', 'feast', 'permanent', 'blast', 'vesuvius', 'oh', 'kind', 'occurred', 'said', 'sufjan', 'follow', 'path', 'leads', 'article', 'eminent', 'death', 'sufjan', 'follow', 'heart', 'follow', 'flame', 'fall', 'floor', 'sufjan', 'panic', 'inside', 'murdering', 'ghost', 'ignore', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'vesuvius', 'fire', 'fire', 'follow', 'favor', 'ghost', 'follow', 'follow', 'death', 'hard', 'follow', 'follow', 'death', 'hard', 'follow', 'follow', 'death', 'hard']"
474,ML475,Fastball,Out Of My Head,sad,"['sometimes', 'feel', 'like', 'drunk', 'behind', 'wheel', 'wheel', 'possibility', 'however', 'may', 'roll', 'give', 'spin', 'see', 'somehow', 'factor', 'know', 'always', 'one', 'way', 'say', 'exactly', 'mean', 'say', 'head', 'mind', 'could', 'ever', 'blind', 'waiting', 'indication', 'hard', 'find', 'matter', 'say', 'never', 'mean', 'bad', 'things', 'quiet', 'finally', 'woke', 'sad', 'time', 'spoke', 'head', 'mind', 'could', 'ever', 'blind', 'waiting', 'invitation', 'hard', 'find', 'matter', 'say', 'never', 'mean', 'bad', 'things', 'quiet', 'finally', 'woke', 'sad', 'time', 'spoke']"
475,ML476,Dire Straits,So Far Away,relaxed,"['mean', 'old', 'town', 'far', 'away', 'sun', 'goes', 'far', 'away', 'far', 'away', 'far', 'see', 'far', 'away', 'far', 'away', 'right', 'tired', 'love', 'alone', 'far', 'away', 'tired', 'making', 'telephone', 'far', 'away', 'far', 'away', 'far', 'see', 'far', 'away', 'far', 'away', 'right', 'get', 'tired', 'explain', 'far', 'away', 'see', 'sun', 'rain', 'far', 'away', 'far', 'away', 'far', 'see', 'far', 'away', 'far', 'away', 'check', 'far', 'away', 'far', 'away', 'far', 'right', 'far', 'yes', 'far', 'away']"
476,ML477,Train,Cab,sad,"['new', 'york', 'snow', 'time', 'year', 'nothing', 'beautiful', 'except', 'making', 'way', 'uptown', 'seeing', 'familiar', 'places', 'faces', 'pile', 'coffee', 'grounds', 'days', 'better', 'nights', 'still', 'lonely', 'sometimes', 'think', 'cab', 'road', 'sometimes', 'think', 'cab', 'road', 'watching', 'breath', 'rise', 'sun', 'pulling', 'make', 'one', 'hopelessly', 'feel', 'phone', 'drive', 'away', 'new', 'rhythm', 'pursue', 'getting', 'telling', 'need', 'days', 'better', 'nights', 'still', 'lonely', 'sometimes', 'think', 'cab', 'road', 'sometimes', 'think', 'cab', 'road', 'still', 'looking', 'fare', 'one', 'said', 'fair', 'alone', 'days', 'better', 'nights', 'still', 'lonely', 'sometimes', 'think', 'cab', 'road', 'days', 'better', 'nights', 'still', 'lonely', 'sometimes', 'think', 'cab', 'road', 'sometimes', 'think', 'cab', 'road']"
477,ML478,Blind Faith,Can't Find My Way Home,relaxed,"['come', 'throne', 'leave', 'body', 'alone', 'somebody', 'must', 'change', 'reason', 'waiting', 'long', 'somebody', 'holds', 'key', 'near', 'end', 'ai', 'got', 'time', 'wasted', 'find', 'way', 'home', 'come', 'leave', 'body', 'alone', 'somebody', 'must', 'change', 'reason', 'waiting', 'years', 'somebody', 'holds', 'key', 'find', 'way', 'home', 'find', 'way', 'home', 'find', 'way', 'home', 'find', 'way', 'home', 'still', 'find', 'way', 'home', 'ai', 'done', 'nothing', 'wrong', 'find', 'way', 'home']"
478,ML479,Dave Matthews Band,Everyday,happy,"['pick', 'bottom', 'top', 'love', 'everyday', 'pay', 'mind', 'taunts', 'advances', 'take', 'chances', 'everyday', 'left', 'right', 'love', 'push', 'love', 'love', 'everyday', 'jump', 'mud', 'get', 'hands', 'dirty', 'love', 'everyday', 'need', 'want', 'need', 'love', 'need', 'want', 'need', 'love', 'everyday', 'everyday', 'pick', 'love', 'bottom', 'onto', 'top', 'love', 'everyday', 'pay', 'mind', 'taunts', 'advances', 'iï¿½m', 'going', 'take', 'chances', 'everyday', 'left', 'right', 'inside', 'right', 'good', 'love', 'fight', 'everyday', 'jump', 'mud', 'mud', 'get', 'hands', 'filthy', 'love', 'give', 'love', 'everyday', 'need', 'want', 'need', 'love', 'need', 'want', 'need', 'love', 'everyday', 'everyday', 'got', 'lay', 'got', 'lay', 'need', 'want', 'need', 'love', 'need', 'want', 'need', 'love', 'everyday', 'everyday', 'everyday', 'lift', 'love', 'bottom', 'onto', 'top', 'love', 'everyday', 'pick', 'love', 'lift', 'love', 'top', 'love', 'everyday', 'bottom', 'everyday', 'onto', 'top', 'everyday', 'pick', 'love', 'lift', 'love', 'pick', 'love', 'everyday']"
479,ML480,Pete Droge & The Sinners,Beautiful Girl,relaxed,"['woke', 'near', 'rittenhouse', 'square', 'noise', 'hall', 'snow', 'flowing', 'air', 'could', 'see', 'flashing', 'spark', 'match', 'first', 'smoke', 'houses', 'built', 'last', 'couple', 'inside', 'change', 'fast', 'see', 'faces', 'looking', 'glass', 'belong', 'want', 'stay', 'baby', 'let', 'stay', 'beautiful', 'girl', 'right', 'belong', 'baby', 'beautiful', 'girl', 'see', 'feet', 'edge', 'bed', 'old', 'love', 'song', 'creeping', 'head', 'eyes', 'closed', 'could', 'guess', 'dreaming', 'stained', 'glass', 'casts', 'flickering', 'light', 'curtains', 'closed', 'tell', 'night', 'know', 'sure', 'sure', 'feels', 'right', 'arms', 'want', 'stay', 'baby', 'let', 'stay', 'beautiful', 'girl', 'right', 'belong', 'baby', 'beautiful', 'girl', 'hope', 'take', 'going', 'head', 'hope', 'keep', 'keep', 'warm', 'bed', 'want', 'stay', 'baby', 'let', 'stay', 'beautiful', 'girl', 'right', 'belong', 'baby', 'beautiful', 'girl']"
480,ML481,Roxy Music,Jealous Guy,angry,"['dreaming', 'past', 'heart', 'beating', 'fast', 'began', 'lose', 'control', 'began', 'lose', 'control', 'mean', 'hurt', 'sorry', 'made', 'cry', 'mean', 'hurt', 'jealous', 'guy', 'feeling', 'insecure', 'might', 'love', 'anymore', 'shivering', 'inside', 'shivering', 'inside', 'mean', 'hurt', 'sorry', 'made', 'cry', 'want', 'hurt', 'jealous', 'guy', 'trying', 'catch', 'eye', 'thought', 'trying', 'hide', 'swallowing', 'pain', 'swallowing', 'pain', 'mean', 'hurt', 'sorry', 'made', 'cry', 'mean', 'hurt', 'jealous', 'guy']"
481,ML482,Shawn Colvin,Get Out Of This House,relaxed,"['go', 'jump', 'lake', 'go', 'ride', 'hill', 'get', 'house', 'house', 'making', 'house', 'ill', 'get', 'house', 'go', 'listen', 'buddha', 'go', 'listen', 'joe', 'get', 'house', 'anyone', 'asks', 'tell', 'know', 'get', 'house', 'spent', '11', 'long', 'years', 'hothouse', 'zone', 'spent', '29', 'trying', 'get', 'home', 'well', 'never', 'got', 'home', 'got', 'house', 'come', 'oh', 'yeah', 'get', 'house', 'get', 'house', 'queen', 'castle', 'king', 'room', 'get', 'get', 'house', 'got', 'need', 'ever', 'could', 'use', 'get', 'get', 'house', 'spent', '17', 'years', 'trying', 'save', 'soul', 'spent', '23', 'hole', 'soul', 'right', 'might', 'get', 'found', 'got', 'house', 'get', 'ou-out', 'get', 'house', 'get', 'house', 'see', 'head', 'end', 'cloud', 'see', 'head', 'telling', 'get', 'act', 'like', 'baby', 'talk', 'like', 'fool', 'get', 'house', 'go', 'back', 'mama', 'go', 'back', 'high', 'school', 'get', 'house', 'go', 'jump', 'lake', 'go', 'jump', 'door', 'get', 'get', 'house', 'stand', 'stand', 'get', 'get', 'house', 'get', 'house']"
